sep=;
Astrée Analysis Report
1. Results
1.1. Data flow
Variable;Function;Access;Process;Application;Core;Data races;Shared variable;Variable class;Location
__ASTREE_Alarm;AlarmExec;read;Process 19: T2_periodic_9ms;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:4116.4-36
__ASTREE_Alarm;AlarmExec;read;Process 23: T6_periodic_9ms;OS_App0_Core2;OsCore_Core0;no;yes;global;osek_stub.c:4116.4-36
__ASTREE_Alarm;AlarmExec;read;Process 18: T1_periodic_9ms;OS_App0_Core0;OsCore_Core1;no;yes;global;osek_stub.c:4116.4-36
__ASTREE_Alarm;AlarmExec;read;Process 21: T4_periodic_3ms;OS_App1_Core1;OsCore_Core2;no;yes;global;osek_stub.c:4116.4-36
__ASTREE_Alarm;AlarmExec;read;Process 22: T5_periodic_3ms;OS_App1_Core2;OsCore_Core0;no;yes;global;osek_stub.c:4116.4-36
__ASTREE_Alarm;AlarmExec;read;Process 20: T3_periodic_9ms;OS_App1_Core0;OsCore_Core1;no;yes;global;osek_stub.c:4116.4-36
__ASTREE_Application;OSEKmainMulticore;read;main-process;;;no;no;global;osek_stub.c:4393.17-49
__ASTREE_Application;OSEKmainMulticore;read;main-process;;;no;no;global;osek_stub.c:4416.17-49
__ASTREE_Application;OSEKmainMulticore;read;main-process;;;no;no;global;osek_stub.c:4433.17-49
__ASTREE_application_of_Alarm;OSEKmainMulticore;read;main-process;;;no;no;global;osek_stub.c:4432.18-50
__ASTREE_application_of_ISR;OSEKmainMulticore;read;main-process;;;no;no;global;osek_stub.c:4415.18-48
__ASTREE_application_of_Task;OSEKmainMulticore;read;main-process;;;no;no;global;osek_stub.c:4392.18-49
__ASTREE_Core;OSEKmainMulticore;read;main-process;;;no;no;global;osek_stub.c:4376.17-36
__ASTREE_Core;StartCore;read;main-process;;;no;no;global;osek_stub.c:4483.10-29
__ASTREE_Core;StartCore;write;main-process;;;no;no;global;osek_stub.c:4504.2-26
__ASTREE_ISR;ISRExec;read;Process 17: XSignalIsr_OsCore_Core2;SystemApplication_OsCore_Core2;OsCore_Core2;no;yes;global;osek_stub.c:4100.4-32
__ASTREE_ISR;ISRExec;read;Process 12: CounterIsr_SystemTimer_0;SystemApplication_OsCore_Core0;OsCore_Core0;no;yes;global;osek_stub.c:4100.4-32
__ASTREE_ISR;ISRExec;read;Process 13: CounterIsr_SystemTimer_1;SystemApplication_OsCore_Core1;OsCore_Core1;no;yes;global;osek_stub.c:4100.4-32
__ASTREE_ISR;ISRExec;read;Process 15: XSignalIsr_OsCore_Core0;SystemApplication_OsCore_Core0;OsCore_Core0;no;yes;global;osek_stub.c:4100.4-32
__ASTREE_ISR;ISRExec;read;Process 16: XSignalIsr_OsCore_Core1;SystemApplication_OsCore_Core1;OsCore_Core1;no;yes;global;osek_stub.c:4100.4-32
__ASTREE_ISR;ISRExec;read;Process 14: CounterIsr_SystemTimer_2;SystemApplication_OsCore_Core2;OsCore_Core2;no;yes;global;osek_stub.c:4100.4-32
__ASTREE_Task;TerminateTask;read;Process 3: IdleTask_OsCore_Core0;SystemApplication_OsCore_Core0;OsCore_Core0;no;yes;global;osek_stub.c:1259.6-41
__ASTREE_Task;TaskExec;read;Process 3: IdleTask_OsCore_Core0;SystemApplication_OsCore_Core0;OsCore_Core0;no;yes;global;osek_stub.c:4066.2-32
__ASTREE_Task;TerminateTask;write;Process 3: IdleTask_OsCore_Core0;SystemApplication_OsCore_Core0;OsCore_Core0;no;yes;global;osek_stub.c:1267.6-35
__ASTREE_Task;TaskExec;write;Process 3: IdleTask_OsCore_Core0;SystemApplication_OsCore_Core0;OsCore_Core0;no;yes;global;osek_stub.c:4053.2-30
__ASTREE_Task;TerminateTask;read;Process 4: IdleTask_OsCore_Core1;SystemApplication_OsCore_Core1;OsCore_Core1;no;yes;global;osek_stub.c:1259.6-41
__ASTREE_Task;TaskExec;read;Process 4: IdleTask_OsCore_Core1;SystemApplication_OsCore_Core1;OsCore_Core1;no;yes;global;osek_stub.c:4066.2-32
__ASTREE_Task;TerminateTask;write;Process 4: IdleTask_OsCore_Core1;SystemApplication_OsCore_Core1;OsCore_Core1;no;yes;global;osek_stub.c:1267.6-35
__ASTREE_Task;TaskExec;write;Process 4: IdleTask_OsCore_Core1;SystemApplication_OsCore_Core1;OsCore_Core1;no;yes;global;osek_stub.c:4053.2-30
__ASTREE_Task;ActivateTask;read;Process 19: T2_periodic_9ms;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:1181.6-33
__ASTREE_Task;ActivateTask;read;Process 19: T2_periodic_9ms;OS_App0_Core1;OsCore_Core1;no;yes;global;osek_stub.c:1183.8-41
